rainfallGroup, hours, total, 1, 2, 3, 4, 5, 6
1,0,1734,334,150,258,92,559,341
1,1,235,59,27,49,21,45,34
1,2,276,64,36,63,30,30,53
1,3,285,55,46,51,37,26,70
1,4,255,45,33,52,36,25,64
1,5,73,8,10,15,11,5,24
1,6,98,12,6,22,19,9,30
1,7,268,39,40,54,41,14,80
1,8,56,7,6,14,11,3,15
1,9,18,3,3,2,4,1,5
1,10,92,12,17,17,18,6,22
1,11,9,1,0,2,2,1,3
1,12,46,5,2,5,12,2,20
1,13,8,0,0,0,4,0,4
1,14,148,18,11,30,27,9,53
1,15,9,0,1,0,2,0,6
1,16,13,2,1,0,3,1,6
1,17,4,0,0,0,0,1,3
1,18,17,2,0,1,4,2,8
1,19,1,0,0,0,1,0,0
1,20,17,3,1,1,4,1,7
1,21,48,3,3,12,4,2,24
1,22,0,0,0,0,0,0,0
1,23,1,0,0,0,1,0,0
1,24,6,0,0,0,2,0,4
1,25,4,2,0,0,0,1,1
1,26,1,0,0,0,0,0,1
3,0,3288,548,270,459,228,1069,714
3,1,400,87,35,93,35,62,88
3,2,728,170,87,139,82,90,160
3,3,687,145,120,153,93,65,111
3,4,618,112,94,129,77,61,145
3,5,317,73,46,52,54,27,65
3,6,233,45,34,44,40,14,56
3,7,561,107,91,102,76,40,145
3,8,163,27,30,20,35,4,47
3,9,46,6,7,8,6,5,14
3,10,127,29,30,19,21,9,19
3,11,11,1,2,1,2,2,3
3,12,70,6,13,10,7,5,29
3,13,6,0,2,1,2,0,1
3,14,162,25,20,32,20,13,52
3,15,28,6,1,9,2,0,10
3,16,9,2,0,1,5,1,0
3,17,2,0,0,0,1,1,0
3,18,17,2,2,4,5,0,4
3,19,4,0,0,1,1,0,2
3,20,19,2,2,5,4,2,4
3,21,36,2,7,6,2,2,17
3,22,2,0,0,0,0,0,2
3,23,3,0,0,0,0,0,3
3,24,9,0,1,3,0,0,5
3,25,6,0,1,2,0,2,1
3,26,0,0,0,0,0,0,0